Transcription-Units	Genes of transcription unit	Regulated-By
ycaC	ycaC	Regulation of ycaC by DNA-binding transcriptional dual regulator Nac // Regulation of ycaC by DNA-binding transcriptional dual regulator FNR // Regulation of ycaC by DNA-binding transcriptional activator BaeR-phosphorylated
glgBXCAP	glgP // glgA // glgC // glgX // glgB	
crp	crp	
yhhA	yhhA	Regulation of yhhA by ppGpp
nadE	nadE	Regulation of nadE by small regulatory RNA CyaR
ilvC	ilvC	
rpmE	rpmE	
tsr	tsr	
yhfA	yhfA	
ybeZY	ybeZ // ybeY	
yiiU	zapB	
speD	speD	
sdaCB	sdaC // sdaB	
mdtG	mdtG	Regulation of mdtG by DNA-binding transcriptional dual regulator Nac
psiF	psiF	
cytR	cytR	
dcuD	dcuD	
asnC-mioC	mioC // asnC	
appCBA-yccB	appX // appC // appB // appA	
orn	orn	Regulation of orn by DNA-binding transcriptional repressor GlaR
yihUTS	yihS // yihT // yihU	
slt	slt	
rnlB	rnlB	
ptrB	ptrB	
mutY-yggX-mltC-nupG	nupG // mltC // yggX // mutY	
mlrA	mlrA	
yghO	yghO	
ybhI	ybhI	Regulation of ybhI by DNA-binding transcriptional dual regulator Nac
bamB-der	der // bamB	
ulaG	ulaG	
rsmE-gshB	gshB // rsmE	
dkgAp // dkgA	dkgA	Regulation of dkgA by ppGpp
hprRS	hprR // hprS	
aer	aer	
rdcAB	rdcB // rdcA	
mocA	mocA	
xdhABC	xdhC // xdhB // xdhA	
pgi	pgi	
ileX	ileX	
ybdH	hcxA	
pabB-nudL	nudL // pabB	
glgCAP	glgP // glgA // glgC	Regulation of glgCAP by carbon storage regulator // Regulation of glgCAP by carbon storage regulator
ugpBAECQ	ugpQ // ugpC // ugpE // ugpA // ugpB	
uspG	uspG	
phnCDEEFGHIJKLMNOP	phnP // phnO // phnN // phnM // phnL // phnK // phnJ // phnI // phnH // phnG // phnF // phnE // phnD // phnC	
dsbGp // dsbG	dsbG	
yhbY	yhbY	
putP	putP	
yebG	yebG	
pyrLBI	pyrL // pyrI // pyrB	
fre	fre	
exoD	exoD	
dmlA	dmlA	
ygjQ	ygjQ	
lpxT	lpxT	
ansB	ansB	
hydN-hypF	hypF // hydN	
gnsA	gnsA	
relA-mazEF	mazF // mazE // relA	
ygiQ	ygiQ	
phoBR	phoB // phoR	
lgoT	lgoT	
hscC	hscC	
yrbN-deaD	deaD // yrbN	
glyVXY	glyV // glyX // glyY	
yicR-rpmBG	rpmG // rpmB // yicR	
insMI3	insM // insI3	
ompC	ompC	Regulation of ompC by small regulatory RNA RseX // Regulation of ompC by small regulatory RNA RybB // Regulation of ompC by small regulatory RNA MicC
yjeH	yjeH	Regulation of yjeH by DNA-binding transcriptional dual regulator Nac
infA	infA	
ivbL-ilvBN-uhpABC	uhpC // uhpB // uhpA // ilvN // ilvB // ivbL	
yghED	yghE // yghD	
yhjH	pdeH	
yhgN	yhgN	
sibE	sibE	
trpt	trpT	
ydjF	ydjF	
mtr	mtr	
ahpF	ahpF	
yabR	yabR	
ybhA	ybhA	
ynfB-speG	speG // ynfB	
rprA	rprA	
malY	malY	
ybhB	ybhB	
aspA-dcuA	dcuA // aspA	
appA	appA	
pstSCA	pstA // pstC // pstS	
cspE	cspE	
lpxM	lpxM	
ybeX-lnt	ybeX // lnt	
rpoD	rpoD	
dmsC	dmsC	
cyaY	cyaY	
bcp	bcp	
dsbC-recJ-prfB	prfB // recJ // dsbC	
ilvIH	ilvI // ilvH	
rpoE-rseABC	rseD // rseC // rseB // rseA // rpoE	
mutY-yggX-mltC-nupG	nupG // mltC // yggX // mutY	
tdcABCDEFG	tdcG // tdcF // tdcE // tdcD // tdcC // tdcB // tdcA	
parC	parC	
apaGH	apaH // apaG	
prfC	prfC	Regulation of prfC by DNA-binding transcriptional dual regulator Nac // Regulation of prfC by ppGpp
serW	serW	
slp-dctR	dctR // slp	
asnB	asnB	Regulation of asnB by small regulatory RNA GcvB
cydAB	cydB // cydA	
idi	idi	
fnrS	fnrS	
sstT	sstT	Regulation of sstT by small regulatory RNA GcvB
gcvB	gcvB	
rraB	rraB	
htpG	htpG	
ygeH	ygeH	
yggI	yggI	
smg	smg	Regulation of smg by DNA-binding transcriptional repressor GlaR
yhhM	yhhM	
yafF	yafF	
rplT	rplT	
cdgI	cdgI	
infB	infB	
yghA	yghA	Regulation of yghA by ppGpp
arcZ	arcZ	
ybcQ	quuD	
tsaB-yeaY	tsaB // yeaY	
yjfY	yjfY	Regulation of yjfY by DNA-binding transcriptional repressor GlaR // Regulation of yjfY by ppGpp
ygiV	ygiV	Regulation of ygiV by DNA-binding transcriptional repressor GlaR
dcuB-fumB	fumB // dcuB	
hemH	hemH	Regulation of hemH by small regulatory RNA RyhB
ybcY	ybcY	
nanATEK-yhcH	nanQ // nanK // nanE // nanT // nanA	
chiZPQ	chiZ // chiQ // chiP	Regulation of chiZPQ by small regulatory RNA ChiX
purR	purR	Regulation of purR by small regulatory RNA SgrS
imp	lptD	
dolP	dolP	
ynjH	ynjH	
lexA-dinF	lexA // dinF	
yohC	yohC	Regulation of yohC by ppGpp
sgcXBCQAER	sgcX // sgcB // sgcC // sgcQ // sgcA // sgcE // sgcR	Regulation of sgcXBCQAER by CRP-cyclic-AMP DNA-binding transcriptional dual regulator // Regulation of sgcXBCQAER by DNA-binding transcriptional dual regulator SlyA // Regulation of sgcXBCQAER by DNA-binding transcriptional dual regulator SlyA
ptsHI-crr	ptsH // ptsI // crr	
ybhP-clsB-ybhN	ybhP // clsB // ybhN	Regulation of ybhP-clsB-ybhN by ppGpp
yhiN	yhiN	
osmF-yehYXW	yehW // yehX // yehY // osmF	Regulation of osmF-yehYXW by ppGpp
ralA	ralA	
cybC	cybC	
ybdO	ybdO	
argS	argS	
araJ	araJ	
fadR	fadR	
slyD	slyD	
ygfB-pepP-ubiHI	ygfB // pepP // ubiH // ubiI	
btuB-murI	murI // btuB	Regulation of btuB-murI by adenosylcobalamin
yoaC	yoaC	Regulation of yoaC by ppGpp
nemRA	nemA // nemR	
ydiE	ydiE	
allB	allB	
fucPIKUR	fucP // fucI // fucK // fucU // fucR	Regulation of fucPIKUR by DNA-binding transcriptional activator YgfI
ybfP	ybfP	
yahN	yahN	Regulation of yahN by CRP-cyclic-AMP DNA-binding transcriptional dual regulator
mliC	mliC	
ahpCF	ahpC // ahpF	
tyrTV-tpr	tpr // tyrV // tyrT	
ypfM	ypfM	
cvpA-purF-ubiX	ubiX // purF // cvpA	
tfaX	tfaX	
ygiN	ygiN	Regulation of ygiN by DNA-binding transcriptional dual regulator Nac
ptsHI-crr	ptsH // ptsI // crr	
glgS	glgS	Regulation of glgS by carbon storage regulator
fabG-acpP	acpP // fabG	
leuO	leuO	
mutY-yggX	yggX // mutY	
fliDST	fliT // fliS // fliD	
sucABCD-sdhX	sdhX // sucA // sucB // sucC // sucD	
ssb	ssb	
C0293	C0293	
dksA-yadB	gluQ // dksA	
ydeA	ydeA	
seqA-pgm	pgm // seqA	
ykfBF-yafX-ykfGH-yafW-ykfI	ykfI // yafW // ykfH // ykfG // yafX // ykfF // ykfB	
groSL	groL // groS	
ybjM	ybjM	
yjiJ	yjiJ	
wecH	wecH	Regulation of wecH by DNA-binding transcriptional dual regulator Nac
frlR	frlR	
blr	blr	
ygeQ	ygeQ	
yggSTU-rdgB-hemW	hemW // rdgB // yggU // yggT // yggS	
asr	asr	
ftsZ	ftsZ	
rfaYZ	waaZ // waaY	
dnaKJ	tpke11 // dnaK // dnaJ	
yrbN-deaD	deaD // yrbN	
yecR	yecR	
yobD	yobD	
ybaQ	ybaQ	
yniA	yniA	Regulation of yniA by ppGpp
ybfOC	ybfC // ybfO	
yggX-mltC	mltC // yggX	
ariR	ariR	Regulation of ariR by ppGpp // Regulation of ariR by CysB-O-acetyl-L-serine DNA-binding transcriptional dual regulator
dinB-yafNOP	yafP // yafO // yafN // dinB	
ybbAP	ybbP // ybbA	
ybeL	ybeL	Regulation of ybeL by ppGpp
yecJ	yecJ	
rnlB	rnlB	
tsx	tsx	Regulation of tsx by small regulatory RNA RybB // Regulation of tsx by small regulatory RNA MicA
queD	queD	Regulation of queD by DNA-binding transcriptional dual regulator Nac
lacZYA	lacA // lacY // lacZ	
ydjE	ydjE	
ytfJ	ytfJ	
rcsA	rcsA	
nagBACD	umpH // nagC // nagA // nagB	
gfcE-etp-etk	gfcE // etp // etk	
mlaFEDCB	mlaB // mlaC // mlaD // mlaE // mlaF	
gltA	gltA	
yqgA	yqgA	
tcdA	tcdA	
yjgL	yjgL	
rna	rna	
alaWX	alaX // alaW	
rlmA	rlmA	
uidR	uidR	
rdlB	rdlB	
fecIR	fecR // fecI	
sroG-ribB	sroG // ribB	
mngB	mngB	
pstB-phoU	phoU // pstB	
hyuA	hyuA	
insQ	insQ	
dtpD	dtpD	
tig	tig	
ptrA	ptrA	
ydhC	punC	
cysB	cysB	
mngAB	mngB // mngA	
aspV	aspV	
tqsA	tqsA	
ydiU	selO	
deoCABD	deoC // deoA // deoB // deoD	
csgA	csgA	
yibT	yibT	
mcrBC	mcrC // mcrB	
rpoH	rpoH	
gltBDF	gltB // gltD // gltF	
folD-ybcJ	folD // ybcJ	
pgk-fbaA	fbaA // pgk	
dpiBA	dpiA // dpiB	Regulation of dpiBA by small regulatory RNA ChiX
yjeNO	yjeO // yjeN	
yajG-ampG	ampG // yajG	
opgB	opgB	
rne	rne	Regulation of rne by ribonuclease E
paaJ	paaJ	
ompC	ompC	Regulation of ompC by small regulatory RNA RseX // Regulation of ompC by small regulatory RNA RybB // Regulation of ompC by small regulatory RNA MicC
kup	kup	
pdxA-rsmA-apaGH	apaH // apaG // rsmA // pdxA	
ybfD	ybfD	
pppA	pppA	
gntRKU	gntU // gntK // gntR	
yjgX	yjgX	
proQ-prc	proQ // prc	
fadL	fadL	Regulation of fadL by small regulatory RNA RybB
rspA-rspB	rspA // rspB	
prkB	prkB	
bglGFB	bglB // bglF // bglG	
iraD	idlP // ytiD // ytiC // iraD	Regulation of iraD by carbon storage regulator // Regulation of iraD by carbon storage regulator
dapB	dapB	
gadY	gadY	
tolC-ygiBC	ygiC // ygiB // tolC	
iprA	iprA	
htpX	htpX	
uacT	uacT	
carAB	carA // carB	
ybhQ	ybhQ	
ygdQ	ygdQ	Regulation of ygdQ by small regulatory RNA MgrR
yfgA	rodZ	
ldtE	ldtE	Regulation of ldtE by ppGpp
lysT-valT-lysW	lysT // valT // lysW	
holD-rimI-yjjG	yjjG // rimI // holD	
serC	serC	
ybiT	ybiT	Regulation of ybiT by DNA-binding transcriptional dual regulator Rob
yeaC	yeaC	
insC5CD5D5-yqiHIG	yqiI // yqiH // yqiG // insD5 // insC5 // insCD5	
yghSR	yghS // yghR	Regulation of yghSR by DNA-binding transcriptional dual regulator LeuO
uspA	uspA	
bolA	bolA	
yafC	yafC	Regulation of yafC by DNA-binding transcriptional dual regulator Nac
ybdR	ybdR	Regulation of ybdR by DNA-binding transcriptional dual regulator Nac
tatE	tatE	
decR	decR	
sdiA	sdiA	
nanY	nanY	
yobF-cspC	cspC // yobF	
casABCDE12	casA // casB // casC // casD // casE // cas1 // cas2	
ycbC	elyC	
galS	galS	
ppiA	ppiA	
yidL	yidL	
ybiP	opgE	
gapA	gapA	
argCBH	argC // argB // argH	
erpA	erpA	
ybcN-ninE-ybcO-rusA-ylcG	ylcG // rusA // ybcO // ninE // ybcN	
gpmA	gpmA	
rpoH	rpoH	
yjfN	yjfN	Regulation of yjfN by DNA-binding transcriptional dual regulator CpxR-phosphorylated
narU	narU	Regulation of narU by ppGpp
yqeH	yqeH	
menBCE	menE // menC // menB	
mipA	mipA	
hemB	hemB	Regulation of hemB by small regulatory RNA RyhB
yjdC	yjdC	
fucU	fucU	
ybgD	ybgD	
lipB	lipB	
ybjX	ybjX	
alkA	alkA	
purMN	purM // purN	
rsmF	rsmF	Regulation of rsmF by DNA-binding transcriptional dual regulator Nac
yjjUV	yjjV // yjjU	
ynfL	ynfL	
priC-ybaM	priC // ybaM	
yghW	yghW	
cadBA	cadA // cadB	
yjcS	yjcS	
insA4AB4B4	insB4 // insA4 // insAB4	
htgA	mbiA	
aspX	aspX	
asnA	asnA	Regulation of asnA by small regulatory RNA GcvB
phoE	phoE	Regulation of phoE by small regulatory RNA MicF
ilvY	ilvY	
yjdN	yjdN	
cysK	cysK	
yjhIHG	yjhI // yjhH // yjhG	
valUXY-lysV	valU // valX // valY // lysV	
yahE	yahE	
galE	galE	
yegW	yegW	
tusA	tusA	
yhaJ	yhaJ	Regulation of yhaJ by DNA-binding transcriptional activator YhaJ
imp	lptD	
pinQ	pinQ	Regulation of pinQ by DNA-binding transcriptional dual regulator Nac
galETKM	galM // galK // galT // galE	
sdhE-ygfX	sdhE // ygfX	
bolA	bolA	
yjjI	yjjI	
maa	maa	
pflB	pflB	
gadEF	gadF // gadE	Regulation of gadEF by small regulatory RNA ArrS
xapB	xapB	
yeaK	yeaK	
ygcU	ygcU	
glpABC	glpA // glpB // glpC	
rsfS-rlmH-mrdAB-rlpA	rsfS // rlmH // mrdA // mrdB // rlpA	
ydiQRST-fadK	fadK // ydiT // ydiS // ydiR // ydiQ	
nanA	nanA	
lysA	lysA	
pdxK	pdxK	
yafU	yafU	
eno	eno	
flhDC	flhC // flhD	
qorB	qorB	
talA	talA	
gadAX	gadX // gadA	
ppsR	ppsR	
spy	spy	
glgCAP	glgP // glgA // glgC	Regulation of glgCAP by carbon storage regulator // Regulation of glgCAP by carbon storage regulator
ykiA	ykiA	
putA	putA	
artPIQM	artM // artQ // artI // artP	
glnB	glnB	
ygfF	ygfF	
kbp	kbp	Regulation of kbp by ppGpp
aroF-tyrA	tyrA // aroF	
ybcV	ybcV	
sdsR	sdsR	
yeaQ	yeaQ	Regulation of yeaQ by ppGpp
tus	tus	
lpp	lpp	
epd-pgk	pgk // epd	
glnA	glnA	
iclR	iclR	
yjdF	yjdF	
fimB	fimB	
radA-nadR	nadR // radA	
yagU	yagU	Regulation of yagU by DNA-binding transcriptional dual regulator Nac
pdeL	pdeL	
ydhM	nemR	
yfGM	yfgM	
pyrD	pyrD	
asnU	asnU	
glnB	glnB	
galK	galK	
gnsB	gnsB	
dnaTC	dnaC // dnaT	
leuV	leuV	Regulation of leuV by ppGpp
yqhD-dkgA	dkgA // yqhD	
aes	aes	
rem	rem	
xerD-dsbC-recJ	recJ // dsbC // xerD	
idnK	idnK	
mqsRA	mqsA // mqsR	
tfaD	tfaD	
xylE	xylE	
csgBAC	csgC // csgB // csgA	
topAI-yjhQ	topAI // yjhQ	
btuE	btuE	
kch	kch	
queF	queF	
clsC	clsC	
ibpB	ibpB	Regulation of ibpB by small heat shock protein IbpA
yhbQ	yhbQ	
ssrS-ygfA	fau // ssrS	
feaB	feaB	
proC	proC	
argP	argP	
sodA	sodA	Regulation of sodA by small regulatory RNA RyhB // Regulation of sodA by small regulatory RNA FnrS
lsrRK	lsrK // lsrR	
metJ	metJ	
epd-pgk	pgk // epd	
ogt	ogt	
bepA-yfgD	yfgD // bepA	
ychJ-purU	purU // ychJ	
panE-yajL	panE // yajL	
bolA	bolA	
ybgC-tolQRA	ybgC // tolQ // tolR // tolA	
ygeP	ygeP	
ybeU-djlC	djlC // ybeU	
yaiT	yaiT	
gshA	gshA	Regulation of gshA by putrescine
pheMST-ihfA	ihfA // pheM // pheT // pheS	
cirA	cirA	Regulation of cirA by small regulatory RNA OmrB // Regulation of cirA by small regulatory RNA OmrA
ompC	ompC	Regulation of ompC by small regulatory RNA RseX // Regulation of ompC by small regulatory RNA RybB // Regulation of ompC by small regulatory RNA MicC
yjiHG-iadA	yjiH // yjiG // iadA	
ilvL	ilvL	
fbaB	fbaB	Regulation of fbaB by ppGpp
nlpC	nlpC	
ugpBAECQ	ugpQ // ugpC // ugpE // ugpA // ugpB	
argO	argO	
epmB	epmB	
gpmA	gpmA	Regulation of gpmA by small regulatory RNA FnrS
ybaP	ybaP	
fabA	fabA	
ybdF	ybdF	
yahK	yahK	
pyrG-eno	eno // pyrG	
btuD	btuD	
gadE-mdtEF	gadF // mdtF // mdtE // gadE	
yfjI	yfjI	Regulation of yfjI by DNA-binding transcriptional dual regulator Nac
rcnR	rcnR	
lpxL	lpxL	
clpA	clpA	
yqhH	yqhH	
ybaZ	ybaZ	
ydfABC	ydfC // ydfB // ydfA	
ghoST	ghoT // ghoS	
bssS	bssS	
fetAB	fetB // fetA	
coaA	coaA	
trpLEDCBA	trpA // trpB // trpC // trpD // trpE // trpL	Regulation of trpLEDCBA by small regulatory RNA RydC // Regulation of trpLEDCBA by small regulatory RNA GcvB
dnaB	dnaB	
yhcN	yhcN	
treA	treA	Regulation of treA by ppGpp
rpmBG-mutM	mutM // rpmG // rpmB	
ydiZ	ydiZ	
yagN	yagN	
pykF	pykF	
infA-serW	serW // infA	Regulation of infA-serW by ppGpp
yhgE	yhgE	Regulation of yhgE by DNA-binding transcriptional dual regulator ArcA-phosphorylated
insL2	insL2	
bglG	bglG	
kdgR	kdgR	Regulation of kdgR by DNA-binding transcriptional dual regulator Nac
metH	metH	
greA	greA	
yjiML	yjiM // yjiL	
yneJ	yneJ	
ihfB	ihfB	
tktA	tktA	
tsx	tsx	Regulation of tsx by small regulatory RNA RybB // Regulation of tsx by small regulatory RNA MicA
yijF	yijF	
cutA	cutA	
xseB-ispA-dxs-yajO	yajO // dxs // ispA // xseB	
uxuR	uxuR	
insH3	insH3	
uvrB	uvrB	
ygbJK	ygbK // ygbJ	Regulation of ygbJK by DNA-binding transcriptional repressor YgbI
eno	eno	
secG-leuU	leuU // secG	
tabA	tabA	
yeaX	yeaX	
uxaCA	uxaA // uxaC	
leuE	leuE	
yqgC	yqgC	
metY	metY	
ybaK	ybaK	
ymdAB	ymdB // ymdA	
yddE	yddE	
patA	patA	Regulation of patA by ppGpp
ygeR	actS	
aidB	aidB	Regulation of aidB by ppGpp
yjiS	yjiS	
yaiO	yaiO	
rpsP-rimM-trmD-rplS	rplS // trmD // rimM // rpsP	
pstSCA	pstA // pstC // pstS	
ptsHI-crr	ptsH // ptsI // crr	
tcyP	tcyP	
yfjU	yfjU	
mpl	mpl	
ybdN	ybdN	
uidABC	uidC // uidB // uidA	
cspI	cspI	
rhaSR	rhaS // rhaR	
treF	treF	Regulation of treF by ppGpp
tdk	tdk	
bax	bax	
dpiBA	dpiA // dpiB	
yjcF	yjcF	Regulation of yjcF by DNA-binding transcriptional dual regulator Nac
ygaVP	ygaP // ygaV	
pstB-phoU	phoU // pstB	
mepH	mepH	
allB	allB	
endA	endA	
ecpA	ecpA	
flu	flu	
alkB	alkB	
ygeY	ygeY	
tapT-patZ	patZ // tapT	
ligB	ligB	Regulation of ligB by DNA-binding transcriptional dual regulator Nac
ylbG	ylbG	
selD-topB	topB // selD	
ydjXYZ-ynjABCD	ynjD // ynjC // ynjB // ynjA // ydjZ // ydjY // ydjX	
ydfZ	ydfZ	Regulation of ydfZ by DNA-binding transcriptional dual regulator FNR
ldtB	ldtB	
rpoH	rpoH	
yggX-mltC-nupG	nupG // mltC // yggX	
yihW	csqR	
murB-birA	birA // murB	
pflB	pflB	
yjiXA	yjiX // yjiA	
torT	torT	Regulation of torT by DNA-binding transcriptional repressor IscR-a [2Fe-2S] iron-sulfur cluster
ykfJ-prfH	prfH // ykfJ	
tyrP	tyrP	
dctA	dctA	
narK	narS // narK	
yoaB	yoaB	
corA	corA	
ydcSTUV-patD	patD // ydcV // ydcU // ydcT // ydcS	
ybgIJKL-nei	pxpA // nei // pxpC // pxpB // ybgI	
mdtK	mdtK	
fabI	fabI	
yqgEF	yqgF // yqgE	
fusA-tufA	tufA // fusA	
digH	digH	
mnt-btuF-yadS	mtn // btuF // yadS	
ycgZ-ymgA-ariR-ymgC	ymgC // ariR // ymgA // ycgZ	
ybcI	ybcI	
yihV-csqR	csqR // yihV	
serC-aroA	serC // aroA	
lptFG	lptG // lptF	
ptsHI-crr	ptsH // ptsI // crr	
yihUTS	yihS // yihT // yihU	
ypjB	ypjB	
hfq-hflXKC	hflC // hflK // hflX // hfq	
panD	panD	
ybdL	ybdL	
yqeB	yqeB	
ssrA	ssrA	
rssAB	rssB // rssA	
sppA	sppA	
ompA	ompA	Regulation of ompA by small regulatory RNA RseX // Regulation of ompA by small regulatory RNA MicA
sutR	sutR	
tldD	tldD	
alkA	alkA	
mdtEF	mdtF // mdtE	
frlR	frlR	
pdxB-usg-truA-dedA	dedA // truA // usg // pdxB	
rclABC	rclC // rclB // rclA	
yahC	yahC	
rnc-era	era // rnc	
crr	crr	
rnk	rnk	
ushA	ushA	
yfiL	yfiL	
aslB	aslB	
emrRAB	mprA // emrA // emrB	
insC6CD6D6	insD6 // insC6 // insCD6	
recG	recG	Regulation of recG by DNA-binding transcriptional regulator CreB-phosphorylated
fliE	fliE	
ydhS	ydhS	Regulation of ydhS by DNA-binding transcriptional repressor GlaR
yggX	yggX	
ygfK-ssnA	ssnA // ygfK	
yjbB	yjbB	
pdhR-aceEF-lpdA	pdhR // aceE // aceF // lpd	
mutH	mutH	
araE	araE	
sfmCD	sfmD // sfmC	
ykfC	ykfC	
acrB	acrB	
aroD	aroD	
tolC-ygiBC	ygiC // ygiB // tolC	
yfhM-pbpC	yfhM // pbpC	
yqhC	yqhC	Regulation of yqhC by DNA-binding transcriptional repressor GlaR
insH-1	insH1	
lysU	lysU	
trmB-yggL	trmB // yggL	
mlaA	mlaA	
ydeTSR	ydeT // ydeS // ydeR	
adrA	dgcC	
ybfE	ybfE	
nsrR-rnr-rlmB-yjfI	yjfI // rlmB // rnr // nsrR	
lgoR	lgoR	
oxyR	oxyR	
frvABXR	frvA // frvB // frvX // frvR	
umpG-pcm	pcm // umpG	
rsmA-apaGH	apaH // apaG // rsmA	
fumD	fumD	Regulation of fumD by DNA-binding transcriptional dual regulator Nac
gmhB	gmhB	
yibA	yibA	
exuR	exuR	
ybeT	ybeT	Regulation of ybeT by DNA-binding transcriptional dual regulator Nac
peaD	peaD	
gntK	gntK	
galR	galR	
cof	cof	
yfiRN	dgcN // yfiR	
yjhE	yjhE	
ydcY	ydcY	Regulation of ydcY by DNA-binding transcriptional dual regulator Nac
mlrA	mlrA	
ygfTS	ygfT // ygfS	
uspA	uspA	
tatABC	tatD // tatC // tatB // tatA	
mepK-gloC	gloC // mepK	
rplU-rpmA	rpmA // rplU	
hdeD	hdeD	Regulation of hdeD by small regulatory RNA RprA // Regulation of hdeD by small regulatory RNA RprA // Regulation of hdeD by ppGpp // Regulation of hdeD by small regulatory RNA CyaR
citCDEFXG	citC // citD // citE // citF // citX // citG	
hflD-purB	purB // hflD	
ratA-yfjF	ratA // yfjF	
dgkA	dgkA	
rfaZ-waaU	waaU // waaZ	
frdABCD	frdD // frdC // frdB // frdA	
ydjLKJIHG	ydjL // ydjK // ydjJ // ydjI // ydjH // ydjG	
murQP	murP // murQ	
leuLABCD	leuD // leuC // leuB // leuA // leuL	
dcuSR	dcuR // dcuS	
yadD	rpnC	
sdsN	sdsN	
insI2	insI2	
yceJI	yceJ // yceI	
gabDTP	gabP // gabT // gabD	
cysK	cysK	
yjhV	yjhV	
xynR	xynR	
panBC	panC // panB	
yjfKLMC	yjfC // yjfM // yjfL // yjfK	
ppiA	ppiA	
ydiJ-menI-ydiH	ydiJ // menI // ydiH	
yfhR	yfhR	
intD	intD	
ybcLM	ybcM // ybcL	
gapA	gapA	
araFGH	araH // araG // araF	
gatYZABCD	gatD // gatC // gatB // gatA // gatZ // gatY	
dut-slmA	slmA // dut	
tas	tas	
rsmC	rsmC	
sibC	sibC	
yiiR	yiiR	
rne	rne	
eutNEJG	eutN // eutE // eutJ // eutG	
alr	alr	
fucO	fucO	
rpsU-dnaG-rpoD	rpsU // dnaG // rpoD	
yafT	yafT	
miaA-hfq-hflXKC	hflC // hflK // hflX // hfq // miaA	
purL	purL	
yqeG	yqeG	
gloA	gloA	
nudE	nudE	
rluF	rluF	
ykgR	ykgR	
ydiL	ydiL	Regulation of ydiL by DNA-binding transcriptional dual regulator Nac
rhsE-ydcD	ydcD // rhsE	
fldA-uof-fur	uof // fur // fldA	
ynfK	bidA	
pdxA-rsmA	rsmA // pdxA	
rplU-rpmA-yhbE-obgE	obgE // yhbE // rpmA // rplU	
yihF	yihF	
rpsF-priB-rpsR-rplI	rpsF // priB // rpsR // rplI	Regulation of rpsF-priB-rpsR-rplI by ppGpp // Regulation of rpsF-priB-rpsR-rplI by S6:S18 ribosomal subunit complex
yjhF	yjhF	
slyX	slyX	
dsrB	dsrB	
tpke11	tpke11	
mreCD	mreD // mreC	
ffs	ffs	
yeaE	yeaE	
rpoD	rpoD	
esrE	esrE	
yneE	yneE	
yifN	yifN	
htgA	mbiA	
xerD	xerD	
gntT	gntT	
cybB	cybB	
gpmA	gpmA	
uvrB	uvrB	
kduD	kduD	
aceK	aceK	
potABCD	potD // potC // potB // potA	
galETKM	galM // galK // galT // galE	
ppiA	ppiA	
rpoE-rseABC	rseD // rseC // rseB // rseA // rpoE	
glmY	glmY	
ydaGF	ydaG // ydaF	
grcA	grcA	
yafS	yafS	
ygeF	ygeF	
csrA	csrA	
yegS	yegS	
ydiFO	ydiO // ydiF	
sieB	sieB	
mdoGH	opgG // opgH	
treR	treR	
narQ	narQ	
ulaR	ulaR	
glpQ	glpQ	
lon	lon	
rayT	rayT	
ubiCA	ubiC // ubiA	
aroKB-damX-dam-rpe-gph-trpS	trpS // gph // rpe // dam // damX // aroB // aroK	
tnaAB	tnaB // tnaA	Regulation of tnaAB by DNA-binding transcriptional activator ZraR-phosphorylated
rzoD	rzoD	
micA	micA	
metR	metR	
mrr	mrr	
rpoS	rpoS	Regulation of rpoS by small regulatory RNA CyaR // Regulation of rpoS by small regulatory RNA ArcZ // Regulation of rpoS by small regulatory RNA OxyS // Regulation of rpoS by small regulatory RNA ArcZ // Regulation of rpoS by small regulatory RNA RprA // Regulation of rpoS by small regulatory RNA DsrA
ylaC	ylaC	
fadD-sroD	sroD // fadD	
yaeI	yaeI	
groL	groL	
fadIJ	fadJ // fadI	
ygeI	ygeI	
yihPO	yihP // yihO	
insL3	insL3	
ygcS	ygcS	Regulation of ygcS by DNA-binding transcriptional dual regulator Nac
pyrC	pyrC	
apt	apt	
feaB	feaB	
rutR	rutR	
hcp-hcr-poxB	poxB // hcr // hcp	
glnALG	glnG // glnL // glnA	
tpiA	tpiA	
wzzB	wzzB	
yifL-dapF-yigA-xerC-yigB	yigB // xerC // yigA // dapF // yifL	
ydgD	ydgD	
yqfB	yqfB	
glmZ	glmZ	
opgD	opgD	
rhoL	rhoL	
yabI	yabI	
panD	panD	
yjhP	yjhP	
kdpFABC	kdpF // kdpC // kdpB // kdpA	
cadA	cadA	Regulation of cadA by ppGpp
rcsB	rcsB	
plsX-fabHDG	fabG // fabD // fabH // plsX	
ytfF	ytfF	
yidA	yidA	
ynaA-lomR	lomR // ynaA	
mngR	mngR	
yagJ	yagJ	
ybaL	ybaL	
sdiA	sdiA	
rnlA	rnlA	
ppnP	ppnP	
yjeV	yjeV	
ytfQRT-yjfF	yjfF // ytfT // ytfR // ytfQ	Regulation of ytfQRT-yjfF by DNA-binding transcriptional dual regulator AraC
motRAB-cheAW	motR // cheW // cheA // motB // motA	
iraD	idlP // iraD	Regulation of iraD by carbon storage regulator
insC4D4CD4-ygeON	insC4 // insD4 // insCD4 // ygeO // ygeN	
artPIQM	artM // artQ // artI // artP	
bioH	bioH	
xapAB	xapB // xapA	
hemA	hemA	
galET	galT // galE	
nohD	nohD	
malEFGH	malH // malG // malF // malE	
yfgHI	yfgI // yfgH	
aceEF	aceF // aceE	
